episode_title,episode_author,link,author,Title
A Month in the Country,J l Carr with Lissa Evans,https://www.backlisted.fm/episodes/1-j-l-carr-a-month-in-the-country,J L Carr,A Month in the Country
A Month in the Country,J l Carr with Lissa Evans,https://www.backlisted.fm/episodes/1-j-l-carr-a-month-in-the-country,J L Carr,Harpole and Foxberrow General Publishers
A Month in the Country,J l Carr with Lissa Evans,https://www.backlisted.fm/episodes/1-j-l-carr-a-month-in-the-country,J L Carr,The Battle of Pollocks Crossing
A Month in the Country,J l Carr with Lissa Evans,https://www.backlisted.fm/episodes/1-j-l-carr-a-month-in-the-country,Vasily Grossman,Life and Fate
A Month in the Country,J l Carr with Lissa Evans,https://www.backlisted.fm/episodes/1-j-l-carr-a-month-in-the-country,Mr Bingo,Hate Mail
A Month in the Country,J l Carr with Lissa Evans,https://www.backlisted.fm/episodes/1-j-l-carr-a-month-in-the-country,William S Burroughs,Naked Lunch
A Month in the Country,J l Carr with Lissa Evans,https://www.backlisted.fm/episodes/1-j-l-carr-a-month-in-the-country,Nancy Mitford,Love in a Cold Climate
A Month in the Country,J l Carr with Lissa Evans,https://www.backlisted.fm/episodes/1-j-l-carr-a-month-in-the-country,J Arthur Gibbs,A Cotswold Village
A Month in the Country,J l Carr with Lissa Evans,https://www.backlisted.fm/episodes/1-j-l-carr-a-month-in-the-country,Giuseppe Tomasi di Lampedusa,The Leopard
A Month in the Country,J l Carr with Lissa Evans,https://www.backlisted.fm/episodes/1-j-l-carr-a-month-in-the-country,W N P Barbellion,Journal of a Disappointed Man
A Month in the Country,J l Carr with Lissa Evans,https://www.backlisted.fm/episodes/1-j-l-carr-a-month-in-the-country,Lissa Evans,Their Finest Hour and a Half
A Month in the Country,J l Carr with Lissa Evans,https://www.backlisted.fm/episodes/1-j-l-carr-a-month-in-the-country,Lissa Evans,Crooked Heart
A Month in the Country,J l Carr with Lissa Evans,https://www.backlisted.fm/episodes/1-j-l-carr-a-month-in-the-country,Byron Rogers,The Last Englishman
A Month in the Country,J l Carr with Lissa Evans,https://www.backlisted.fm/episodes/1-j-l-carr-a-month-in-the-country,Andy Miller,Tilting at Windmills
A Month in the Country,J l Carr with Lissa Evans,https://www.backlisted.fm/episodes/1-j-l-carr-a-month-in-the-country,William Golding,Darkness Visible
"Good Morning, Midnight",Jean Rhys,https://www.backlisted.fm/episodes/2-jean-rhys-good-morning-midnight,Tove Jansson,The Winter Book
"Good Morning, Midnight",Jean Rhys,https://www.backlisted.fm/episodes/2-jean-rhys-good-morning-midnight,Tove Jansson,Moominpappa at Sea
"Good Morning, Midnight",Jean Rhys,https://www.backlisted.fm/episodes/2-jean-rhys-good-morning-midnight,Tove Jansson,Moominvalley in November
"Good Morning, Midnight",Jean Rhys,https://www.backlisted.fm/episodes/2-jean-rhys-good-morning-midnight,Stephen Hawking,A Brief History of Time
"Good Morning, Midnight",Jean Rhys,https://www.backlisted.fm/episodes/2-jean-rhys-good-morning-midnight,George Orwell,1984
"Good Morning, Midnight",Jean Rhys,https://www.backlisted.fm/episodes/2-jean-rhys-good-morning-midnight,George Orwell,Keep the Aspidistra Flying
"Good Morning, Midnight",Jean Rhys,https://www.backlisted.fm/episodes/2-jean-rhys-good-morning-midnight,George Orwell,Coming Up For Air
"Good Morning, Midnight",Jean Rhys,https://www.backlisted.fm/episodes/2-jean-rhys-good-morning-midnight,Linda Grant,The Clothes on Their Back
"Good Morning, Midnight",Jean Rhys,https://www.backlisted.fm/episodes/2-jean-rhys-good-morning-midnight,Linda Grant,Upstairs at the Party
"Good Morning, Midnight",Jean Rhys,https://www.backlisted.fm/episodes/2-jean-rhys-good-morning-midnight,Linda Grant,I Murdered My Library
"Good Morning, Midnight",Jean Rhys,https://www.backlisted.fm/episodes/2-jean-rhys-good-morning-midnight,Jean Rhys,Quartet
"Good Morning, Midnight",Jean Rhys,https://www.backlisted.fm/episodes/2-jean-rhys-good-morning-midnight,Jean Rhys,After Leaving Mr. Mackenzie
"Good Morning, Midnight",Jean Rhys,https://www.backlisted.fm/episodes/2-jean-rhys-good-morning-midnight,Jean Rhys,Voyage in the Dark
"Good Morning, Midnight",Jean Rhys,https://www.backlisted.fm/episodes/2-jean-rhys-good-morning-midnight,Jean Rhys,Good Morning
"Good Morning, Midnight",Jean Rhys,https://www.backlisted.fm/episodes/2-jean-rhys-good-morning-midnight,Jean Rhys,Midnight
"Good Morning, Midnight",Jean Rhys,https://www.backlisted.fm/episodes/2-jean-rhys-good-morning-midnight,Jean Rhys,Wide Sargasso Sea
"Good Morning, Midnight",Jean Rhys,https://www.backlisted.fm/episodes/2-jean-rhys-good-morning-midnight,David Plante,Difficult Women
It Had to Be You,David Nobbs,https://www.backlisted.fm/episodes/3-david-nobbs-1,Andrew Miller,The Year of Reading Dangerously
It Had to Be You,David Nobbs,https://www.backlisted.fm/episodes/3-david-nobbs-1,James Joyce,Finnegans Wake
It Had to Be You,David Nobbs,https://www.backlisted.fm/episodes/3-david-nobbs-1,Samuel Beckett,Our Exagmination Round His Factification for Incamination of Work in Progress
It Had to Be You,David Nobbs,https://www.backlisted.fm/episodes/3-david-nobbs-1,Charles Dickens,The Holly Tree
It Had to Be You,David Nobbs,https://www.backlisted.fm/episodes/3-david-nobbs-1,Charles Dickens,Mrs. Lirriper’s Lodgings
It Had to Be You,David Nobbs,https://www.backlisted.fm/episodes/3-david-nobbs-1,Claire Tomalin,Charles Dickens: A Life
It Had to Be You,David Nobbs,https://www.backlisted.fm/episodes/3-david-nobbs-1,Jonathan Coe,What A Carve Up!
It Had to Be You,David Nobbs,https://www.backlisted.fm/episodes/3-david-nobbs-1,Jonathan Coe,The Rotters’ Club
It Had to Be You,David Nobbs,https://www.backlisted.fm/episodes/3-david-nobbs-1,Jonathan Coe,House of Sleep
It Had to Be You,David Nobbs,https://www.backlisted.fm/episodes/3-david-nobbs-1,Jonathan Coe,Like a Fiery Elephant
It Had to Be You,David Nobbs,https://www.backlisted.fm/episodes/3-david-nobbs-1,Jonathan Coe,Number Eleven
It Had to Be You,David Nobbs,https://www.backlisted.fm/episodes/3-david-nobbs-1,David Nobbs,I Didn’t Get Where I Am Today
It Had to Be You,David Nobbs,https://www.backlisted.fm/episodes/3-david-nobbs-1,David Nobbs,It Had to Be You
It Had to Be You,David Nobbs,https://www.backlisted.fm/episodes/3-david-nobbs-1,David Nobbs,Cupid’s Dart
It Had to Be You,David Nobbs,https://www.backlisted.fm/episodes/3-david-nobbs-1,David Nobbs,Obstacles to Young Love
It Had to Be You,David Nobbs,https://www.backlisted.fm/episodes/3-david-nobbs-1,David Nobbs,The Death of Reginald Perrin/ The Fall and Rise of Reginald Perrin
It Had to Be You,David Nobbs,https://www.backlisted.fm/episodes/3-david-nobbs-1,David Nobbs,The Better World of Reginald Perrin
It Had to Be You,David Nobbs,https://www.backlisted.fm/episodes/3-david-nobbs-1,David Nobbs,Ostrich Country
The Blessing,Nancy Mitford,https://www.backlisted.fm/episodes/4-nancy-mitford-the-blessing,Charles Dickens,Great Expectations
The Blessing,Nancy Mitford,https://www.backlisted.fm/episodes/4-nancy-mitford-the-blessing,Andy Miller,The Year of Reading Dangerously
The Blessing,Nancy Mitford,https://www.backlisted.fm/episodes/4-nancy-mitford-the-blessing,Laura Thompson,Life in a Cold Climate
The Blessing,Nancy Mitford,https://www.backlisted.fm/episodes/4-nancy-mitford-the-blessing,Laura Thompson,Agatha Christie: An English Mystery
The Blessing,Nancy Mitford,https://www.backlisted.fm/episodes/4-nancy-mitford-the-blessing,Laura Thompson,Take Six Girls: The Lives of the Mitford Sisters
The Blessing,Nancy Mitford,https://www.backlisted.fm/episodes/4-nancy-mitford-the-blessing,James Joyce,Finnegans Wake
The Blessing,Nancy Mitford,https://www.backlisted.fm/episodes/4-nancy-mitford-the-blessing,Agatha Christie,Third Girl
The Blessing,Nancy Mitford,https://www.backlisted.fm/episodes/4-nancy-mitford-the-blessing,Agatha Christie,Endless Night
The Blessing,Nancy Mitford,https://www.backlisted.fm/episodes/4-nancy-mitford-the-blessing,Roberto Saviano,Zero Zero Zero
The Blessing,Nancy Mitford,https://www.backlisted.fm/episodes/4-nancy-mitford-the-blessing,Nancy Mitford,The Blessing
The Blessing,Nancy Mitford,https://www.backlisted.fm/episodes/4-nancy-mitford-the-blessing,Nancy Mitford,Love in a Cold Climate
The Blessing,Nancy Mitford,https://www.backlisted.fm/episodes/4-nancy-mitford-the-blessing,Nancy Mitford,Wigs on the Green
The Blessing,Nancy Mitford,https://www.backlisted.fm/episodes/4-nancy-mitford-the-blessing,Nancy Mitford,The Pursuit of Love
The Blessing,Nancy Mitford,https://www.backlisted.fm/episodes/4-nancy-mitford-the-blessing,Nancy Mitford,Don’t Tell Alfred
The Blessing,Nancy Mitford,https://www.backlisted.fm/episodes/4-nancy-mitford-the-blessing,Nancy Mitford,Frederick the Great
The Blessing,Nancy Mitford,https://www.backlisted.fm/episodes/4-nancy-mitford-the-blessing,Nancy Mitford,The Sun King
The Blessing,Nancy Mitford,https://www.backlisted.fm/episodes/4-nancy-mitford-the-blessing,The Letters of Nancy Mitford and Evelyn Waugh,Edited by Charlotte Mosely
The Blessing,Nancy Mitford,https://www.backlisted.fm/episodes/4-nancy-mitford-the-blessing,U and non,U
Christie Malry's Own Double Entry,B s Johnson,https://www.backlisted.fm/episodes/5-b-s-johnson-christie-malrys-own-double-entry,Andy Miller,The Year of Reading Dangerously
Christie Malry's Own Double Entry,B s Johnson,https://www.backlisted.fm/episodes/5-b-s-johnson-christie-malrys-own-double-entry,Adam Thorpe,On Silbury Hill
Christie Malry's Own Double Entry,B s Johnson,https://www.backlisted.fm/episodes/5-b-s-johnson-christie-malrys-own-double-entry,Adam Thorpe,Ulverton
Christie Malry's Own Double Entry,B s Johnson,https://www.backlisted.fm/episodes/5-b-s-johnson-christie-malrys-own-double-entry,Hilary Mantel,A Place of Greater Safety
Christie Malry's Own Double Entry,B s Johnson,https://www.backlisted.fm/episodes/5-b-s-johnson-christie-malrys-own-double-entry,Hilary Mantel,Fludd
Christie Malry's Own Double Entry,B s Johnson,https://www.backlisted.fm/episodes/5-b-s-johnson-christie-malrys-own-double-entry,Laura Cumming,The Vanishing Man: In Pursuit of Velázquez
Christie Malry's Own Double Entry,B s Johnson,https://www.backlisted.fm/episodes/5-b-s-johnson-christie-malrys-own-double-entry,Jonathan Coe,Like a Fiery Elephant
Christie Malry's Own Double Entry,B s Johnson,https://www.backlisted.fm/episodes/5-b-s-johnson-christie-malrys-own-double-entry,B. S. Johnson,Christie Malry’s Own Double Entry
Christie Malry's Own Double Entry,B s Johnson,https://www.backlisted.fm/episodes/5-b-s-johnson-christie-malrys-own-double-entry,B. S. Johnson,House Mother Normal
Christie Malry's Own Double Entry,B s Johnson,https://www.backlisted.fm/episodes/5-b-s-johnson-christie-malrys-own-double-entry,B. S. Johnson,See the Old Lady Decently
Christie Malry's Own Double Entry,B s Johnson,https://www.backlisted.fm/episodes/5-b-s-johnson-christie-malrys-own-double-entry,B. S. Johnson,Travelling People
Christie Malry's Own Double Entry,B s Johnson,https://www.backlisted.fm/episodes/5-b-s-johnson-christie-malrys-own-double-entry,B. S. Johnson,Trawl
Christie Malry's Own Double Entry,B s Johnson,https://www.backlisted.fm/episodes/5-b-s-johnson-christie-malrys-own-double-entry,B. S. Johnson,The Unfortunates
Christie Malry's Own Double Entry,B s Johnson,https://www.backlisted.fm/episodes/5-b-s-johnson-christie-malrys-own-double-entry,Terry Pratchett,Discworld
Christie Malry's Own Double Entry,B s Johnson,https://www.backlisted.fm/episodes/5-b-s-johnson-christie-malrys-own-double-entry,The Fall,Victoria
Passing,Nella Larsen,https://www.backlisted.fm/episodes/6-nella-larsen-passing,Andy Miller,The Year of Reading Dangerously
Passing,Nella Larsen,https://www.backlisted.fm/episodes/6-nella-larsen-passing,Sarah Churchwell,Careless People: Murder
Passing,Nella Larsen,https://www.backlisted.fm/episodes/6-nella-larsen-passing,Sarah Churchwell,Mayhem and the Invention of The Great Gatsby
Passing,Nella Larsen,https://www.backlisted.fm/episodes/6-nella-larsen-passing,Spike Milligan,Puckoon
Passing,Nella Larsen,https://www.backlisted.fm/episodes/6-nella-larsen-passing,Jessica Mitford,The American Way of Death
Passing,Nella Larsen,https://www.backlisted.fm/episodes/6-nella-larsen-passing,J. B. Priestley,English Journey
Passing,Nella Larsen,https://www.backlisted.fm/episodes/6-nella-larsen-passing,Keith Waterhouse,Billy Liar
Passing,Nella Larsen,https://www.backlisted.fm/episodes/6-nella-larsen-passing,Hubert Selby,Last Exit to Brooklyn
Passing,Nella Larsen,https://www.backlisted.fm/episodes/6-nella-larsen-passing,Jon Savage,Teenage: The Creation of Youth
Passing,Nella Larsen,https://www.backlisted.fm/episodes/6-nella-larsen-passing,Peter Guralnick,Sweet Soul Music: Rhythm and Blues And the Souther Dream of Freedom
Passing,Nella Larsen,https://www.backlisted.fm/episodes/6-nella-larsen-passing,John Bratby,Breakdown
Passing,Nella Larsen,https://www.backlisted.fm/episodes/6-nella-larsen-passing,Nella Larsen,Passing
Passing,Nella Larsen,https://www.backlisted.fm/episodes/6-nella-larsen-passing,Nella Larsen,Quicksand
Passing,Nella Larsen,https://www.backlisted.fm/episodes/6-nella-larsen-passing,Jean Toomer,Cane
Passing,Nella Larsen,https://www.backlisted.fm/episodes/6-nella-larsen-passing,William Faulkner,The Sound and the Fury
Passing,Nella Larsen,https://www.backlisted.fm/episodes/6-nella-larsen-passing,Ernest Hemingway,A Farewell to Arms
Passing,Nella Larsen,https://www.backlisted.fm/episodes/6-nella-larsen-passing,Virginia Woolf,A Room of One’s Own
Passing,Nella Larsen,https://www.backlisted.fm/episodes/6-nella-larsen-passing,Edgar Rice Burroughs,Tarzan and the Lost Empire
Passing,Nella Larsen,https://www.backlisted.fm/episodes/6-nella-larsen-passing,Erich Maria Remarque,All Quiet on the Western Front
Passing,Nella Larsen,https://www.backlisted.fm/episodes/6-nella-larsen-passing,James Joyce,Ulysses
Passing,Nella Larsen,https://www.backlisted.fm/episodes/6-nella-larsen-passing,Ewan Clayton,The Golden Thread: The Story of Writing
The Great Fire,Shirley Hazzard,https://www.backlisted.fm/episodes/7-shirley-hazzard-the-great-fire,Andy Miller,The Year of Reading Dangerously
The Great Fire,Shirley Hazzard,https://www.backlisted.fm/episodes/7-shirley-hazzard-the-great-fire,Alice Jolly,Dead Babies and Seaside Towns
The Great Fire,Shirley Hazzard,https://www.backlisted.fm/episodes/7-shirley-hazzard-the-great-fire,Shirley Hazzard,The Great Fire
The Great Fire,Shirley Hazzard,https://www.backlisted.fm/episodes/7-shirley-hazzard-the-great-fire,Shirley Hazzard,Greene on Capri
The Great Fire,Shirley Hazzard,https://www.backlisted.fm/episodes/7-shirley-hazzard-the-great-fire,Shirley Hazzard,The Transit of Venus
The Great Fire,Shirley Hazzard,https://www.backlisted.fm/episodes/7-shirley-hazzard-the-great-fire,Shirley Hazzard,The Evening of the Holiday
The Great Fire,Shirley Hazzard,https://www.backlisted.fm/episodes/7-shirley-hazzard-the-great-fire,Shirley Hazzard,The Bay of Noon
The Great Fire,Shirley Hazzard,https://www.backlisted.fm/episodes/7-shirley-hazzard-the-great-fire,Shirley Hazzard,We Need Silence to Find Out What We Think
The Great Fire,Shirley Hazzard,https://www.backlisted.fm/episodes/7-shirley-hazzard-the-great-fire,Spike Milligan,Puckoon
The Great Fire,Shirley Hazzard,https://www.backlisted.fm/episodes/7-shirley-hazzard-the-great-fire,Spike Milligan,The Looney: An Irish Fantasy
The Great Fire,Shirley Hazzard,https://www.backlisted.fm/episodes/7-shirley-hazzard-the-great-fire,Roger Lewis,The Life and Death of Peter Sellers
The Great Fire,Shirley Hazzard,https://www.backlisted.fm/episodes/7-shirley-hazzard-the-great-fire,A. A. Gill,Pour Me: A Life
The Great Fire,Shirley Hazzard,https://www.backlisted.fm/episodes/7-shirley-hazzard-the-great-fire,Charles Dickens,Great Expectations
The Great Fire,Shirley Hazzard,https://www.backlisted.fm/episodes/7-shirley-hazzard-the-great-fire,Jean Rhys,Wide Sargasso Sea
The Great Fire,Shirley Hazzard,https://www.backlisted.fm/episodes/7-shirley-hazzard-the-great-fire,Nigel Balchin,The Small Back Room
The Great Fire,Shirley Hazzard,https://www.backlisted.fm/episodes/7-shirley-hazzard-the-great-fire,The Paris Review,Shirley Hazzard
Lolly Willowes,Sylvia Townsend Warner,https://www.backlisted.fm/episodes/8-sylvia-townsend-warner-lolly-willowes,Andy Miller,The Year of reading Dangerously
Lolly Willowes,Sylvia Townsend Warner,https://www.backlisted.fm/episodes/8-sylvia-townsend-warner-lolly-willowes,Samantha Ellis,How to be a Heroine
Lolly Willowes,Sylvia Townsend Warner,https://www.backlisted.fm/episodes/8-sylvia-townsend-warner-lolly-willowes,Martin Shaw,Snowy Tower: Parzival and the Wet Black Branch of Language
Lolly Willowes,Sylvia Townsend Warner,https://www.backlisted.fm/episodes/8-sylvia-townsend-warner-lolly-willowes,Charles A Foster,Being a Beast
Lolly Willowes,Sylvia Townsend Warner,https://www.backlisted.fm/episodes/8-sylvia-townsend-warner-lolly-willowes,Thomas Thwaites,Goatman: How I Took a Holiday from Being Human
Lolly Willowes,Sylvia Townsend Warner,https://www.backlisted.fm/episodes/8-sylvia-townsend-warner-lolly-willowes,John Yorke,Into the Woods
Lolly Willowes,Sylvia Townsend Warner,https://www.backlisted.fm/episodes/8-sylvia-townsend-warner-lolly-willowes,Spike Milligan,Puckoon
Lolly Willowes,Sylvia Townsend Warner,https://www.backlisted.fm/episodes/8-sylvia-townsend-warner-lolly-willowes,J. B. Priestley,English Journey
Lolly Willowes,Sylvia Townsend Warner,https://www.backlisted.fm/episodes/8-sylvia-townsend-warner-lolly-willowes,Jessica Mitford,The American Way of Death
Lolly Willowes,Sylvia Townsend Warner,https://www.backlisted.fm/episodes/8-sylvia-townsend-warner-lolly-willowes,Sylvia Townsend Warner,Lolly Willowes
Lolly Willowes,Sylvia Townsend Warner,https://www.backlisted.fm/episodes/8-sylvia-townsend-warner-lolly-willowes,Sylvia Townsend Warner,Mr Fortune’s Maggot
Lolly Willowes,Sylvia Townsend Warner,https://www.backlisted.fm/episodes/8-sylvia-townsend-warner-lolly-willowes,Sylvia Townsend Warner,The True Heart
Lolly Willowes,Sylvia Townsend Warner,https://www.backlisted.fm/episodes/8-sylvia-townsend-warner-lolly-willowes,Sylvia Townsend Warner,After the Death of Don Juan
Lolly Willowes,Sylvia Townsend Warner,https://www.backlisted.fm/episodes/8-sylvia-townsend-warner-lolly-willowes,Sylvia Townsend Warner,The Corner That Held Them
Lolly Willowes,Sylvia Townsend Warner,https://www.backlisted.fm/episodes/8-sylvia-townsend-warner-lolly-willowes,George Orwell,The Road to Wigan Pier
Lolly Willowes,Sylvia Townsend Warner,https://www.backlisted.fm/episodes/8-sylvia-townsend-warner-lolly-willowes,Paul Theroux,The Kingdom by the Sea
Lolly Willowes,Sylvia Townsend Warner,https://www.backlisted.fm/episodes/8-sylvia-townsend-warner-lolly-willowes,Shaun Usher,Lists of Note
Lolly Willowes,Sylvia Townsend Warner,https://www.backlisted.fm/episodes/8-sylvia-townsend-warner-lolly-willowes,Charlotte Brontë,Jane Eyre
Lolly Willowes,Sylvia Townsend Warner,https://www.backlisted.fm/episodes/8-sylvia-townsend-warner-lolly-willowes,Emily Brontë,Wuthering Heights
Lolly Willowes,Sylvia Townsend Warner,https://www.backlisted.fm/episodes/8-sylvia-townsend-warner-lolly-willowes,Virginia Woolf,A Room of One’s Own
Lolly Willowes,Sylvia Townsend Warner,https://www.backlisted.fm/episodes/8-sylvia-townsend-warner-lolly-willowes,Charles Mackay,Extraordinary Popular Delusions and the Madness of Crowds
Lolly Willowes,Sylvia Townsend Warner,https://www.backlisted.fm/episodes/8-sylvia-townsend-warner-lolly-willowes,Arthur Machen,The Great God Pan
The Information,Martin Amis,https://www.backlisted.fm/episodes/9-martin-amis-the-information,Andy Miller,The Year of Reading Dangerously
The Information,Martin Amis,https://www.backlisted.fm/episodes/9-martin-amis-the-information,Andy Miller,The Kinks Are The Village Green Preservation Society
The Information,Martin Amis,https://www.backlisted.fm/episodes/9-martin-amis-the-information,John Niven,Kill Your Friends
The Information,Martin Amis,https://www.backlisted.fm/episodes/9-martin-amis-the-information,John Niven,Music From Big Pink
The Information,Martin Amis,https://www.backlisted.fm/episodes/9-martin-amis-the-information,John Niven,Sunshine Cruise Company
The Information,Martin Amis,https://www.backlisted.fm/episodes/9-martin-amis-the-information,Elizabeth Taylor,The Devastating Boys
The Information,Martin Amis,https://www.backlisted.fm/episodes/9-martin-amis-the-information,Jean Rhys,Tigers Are Better Looking
The Information,Martin Amis,https://www.backlisted.fm/episodes/9-martin-amis-the-information,John Cheever,The Brigadier and The Golf Widow
The Information,Martin Amis,https://www.backlisted.fm/episodes/9-martin-amis-the-information,Mason Currey,Daily Rituals
The Information,Martin Amis,https://www.backlisted.fm/episodes/9-martin-amis-the-information,Martin Amis,The Information
